PERFUME_ID,OCCASION,ratio,LOAD_DT
8596,Leisure,29.49,2026-01-20 08:39:35
8596,Business,20.51,2026-01-20 08:39:35
8596,Sport,19.23,2026-01-20 08:39:35
8598,Daily,22.85,2026-01-20 08:39:35
8598,Business,21.58,2026-01-20 08:39:35
8598,Leisure,21.16,2026-01-20 08:39:35
8598,Night Out,17.63,2026-01-20 08:39:35
8598,Evening,16.78,2026-01-20 08:39:35
8602,Daily,23.21,2026-01-20 08:39:35
8602,Leisure,23.04,2026-01-20 08:39:35
8602,Business,22.14,2026-01-20 08:39:35
8602,Night Out,16.25,2026-01-20 08:39:35
8602,Evening,15.36,2026-01-20 08:39:35
8610,Daily,22.73,2026-01-20 08:39:35
8610,Night Out,22.73,2026-01-20 08:39:35
8610,Evening,20.45,2026-01-20 08:39:35
8610,Leisure,17.05,2026-01-20 08:39:35
8610,Business,17.05,2026-01-20 08:39:35
8614,Evening,25.0,2026-01-20 08:39:35
8614,Night Out,24.65,2026-01-20 08:39:35
8614,Daily,18.06,2026-01-20 08:39:35
8614,Leisure,16.32,2026-01-20 08:39:35
8614,Business,15.97,2026-01-20 08:39:35
8615,Leisure,27.27,2026-01-20 08:39:35
8615,Daily,25.97,2026-01-20 08:39:35
8615,Business,24.68,2026-01-20 08:39:35
8618,Daily,26.53,2026-01-20 08:39:35
8618,Leisure,25.51,2026-01-20 08:39:35
8618,Business,24.49,2026-01-20 08:39:35
8619,Daily,26.27,2026-01-20 08:39:35
8619,Leisure,25.42,2026-01-20 08:39:35
8619,Business,24.24,2026-01-20 08:39:35
8622,Evening,25.04,2026-01-20 08:39:35
8622,Night Out,24.02,2026-01-20 08:39:35
8622,Leisure,17.72,2026-01-20 08:39:35
8622,Business,17.04,2026-01-20 08:39:35
8622,Daily,16.18,2026-01-20 08:39:35
8623,Daily,32.81,2026-01-20 08:39:35
8623,Leisure,31.25,2026-01-20 08:39:35
8623,Business,20.31,2026-01-20 08:39:35
8626,Leisure,27.91,2026-01-20 08:39:35
8626,Daily,23.26,2026-01-20 08:39:35
8626,Business,20.93,2026-01-20 08:39:35
8627,Daily,25.39,2026-01-20 08:39:35
8627,Leisure,24.96,2026-01-20 08:39:35
8627,Business,23.82,2026-01-20 08:39:35
8630,Leisure,30.34,2026-01-20 08:39:35
8630,Daily,28.09,2026-01-20 08:39:35
8630,Business,23.6,2026-01-20 08:39:35
8631,Daily,21.4,2026-01-20 08:39:35
8631,Evening,20.2,2026-01-20 08:39:35
8631,Business,19.6,2026-01-20 08:39:35
8631,Leisure,19.4,2026-01-20 08:39:35
8631,Night Out,19.4,2026-01-20 08:39:35
8634,Leisure,31.25,2026-01-20 08:39:35
8634,Daily,30.0,2026-01-20 08:39:35
8634,Business,23.75,2026-01-20 08:39:35
8635,Night Out,27.17,2026-01-20 08:39:35
8635,Evening,26.2,2026-01-20 08:39:35
8635,Leisure,16.38,2026-01-20 08:39:35
8635,Daily,15.61,2026-01-20 08:39:35
8638,Daily,25.97,2026-01-20 08:39:35
8638,Leisure,25.97,2026-01-20 08:39:35
8638,Business,20.78,2026-01-20 08:39:35
8641,Daily,23.91,2026-01-20 08:39:35
8641,Business,23.19,2026-01-20 08:39:35
8641,Leisure,22.28,2026-01-20 08:39:35
8641,Night Out,15.4,2026-01-20 08:39:35
8641,Evening,15.22,2026-01-20 08:39:35
8642,Daily,25.71,2026-01-20 08:39:35
8642,Business,24.29,2026-01-20 08:39:35
8642,Leisure,21.43,2026-01-20 08:39:35
8642,Evening,15.71,2026-01-20 08:39:35
8645,Leisure,25.91,2026-01-20 08:39:35
8645,Daily,25.55,2026-01-20 08:39:35
8645,Business,22.81,2026-01-20 08:39:35
8646,Daily,29.27,2026-01-20 08:39:35
8646,Business,25.61,2026-01-20 08:39:35
8646,Leisure,23.17,2026-01-20 08:39:35
8649,Daily,25.67,2026-01-20 08:39:35
8649,Leisure,23.52,2026-01-20 08:39:35
8649,Business,21.72,2026-01-20 08:39:35
8650,Leisure,31.43,2026-01-20 08:39:35
8650,Daily,28.57,2026-01-20 08:39:35
8653,Daily,24.74,2026-01-20 08:39:35
8653,Business,23.54,2026-01-20 08:39:35
8653,Leisure,21.13,2026-01-20 08:39:35
8655,Leisure,24.66,2026-01-20 08:39:35
8655,Daily,20.55,2026-01-20 08:39:35
8655,Business,17.81,2026-01-20 08:39:35
8655,Evening,16.44,2026-01-20 08:39:35
8657,Leisure,25.68,2026-01-20 08:39:35
8657,Daily,24.77,2026-01-20 08:39:35
8657,Business,23.33,2026-01-20 08:39:35
8659,Leisure,25.4,2026-01-20 08:39:35
8659,Daily,23.81,2026-01-20 08:39:35
8659,Night Out,17.46,2026-01-20 08:39:35
8659,Business,17.46,2026-01-20 08:39:35
8659,Evening,15.87,2026-01-20 08:39:35
8661,Leisure,23.4,2026-01-20 08:39:35
8661,Daily,22.44,2026-01-20 08:39:35
8661,Sport,19.23,2026-01-20 08:39:35
8661,Business,19.23,2026-01-20 08:39:35
8663,Leisure,33.33,2026-01-20 08:39:35
8663,Daily,30.16,2026-01-20 08:39:35
8663,Business,23.81,2026-01-20 08:39:35
8665,Daily,24.16,2026-01-20 08:39:35
8665,Business,23.03,2026-01-20 08:39:35
8665,Leisure,21.91,2026-01-20 08:39:35
8667,Daily,32.76,2026-01-20 08:39:35
8667,Leisure,29.31,2026-01-20 08:39:35
8667,Business,27.59,2026-01-20 08:39:35
8669,Evening,28.11,2026-01-20 08:39:35
8669,Night Out,24.59,2026-01-20 08:39:35
8669,Leisure,18.38,2026-01-20 08:39:35
8669,Daily,15.41,2026-01-20 08:39:35
8671,Evening,23.38,2026-01-20 08:39:35
8671,Daily,22.08,2026-01-20 08:39:35
8671,Leisure,22.08,2026-01-20 08:39:35
8671,Night Out,16.88,2026-01-20 08:39:35
8671,Business,15.58,2026-01-20 08:39:35
8673,Business,22.7,2026-01-20 08:39:35
8673,Daily,21.51,2026-01-20 08:39:35
8673,Leisure,21.28,2026-01-20 08:39:35
8673,Evening,17.97,2026-01-20 08:39:35
8673,Night Out,16.55,2026-01-20 08:39:35
8676,Evening,34.54,2026-01-20 08:39:35
8676,Night Out,31.5,2026-01-20 08:39:35
8676,Leisure,16.91,2026-01-20 08:39:35
8677,Leisure,25.2,2026-01-20 08:39:35
8677,Daily,23.62,2026-01-20 08:39:35
8677,Sport,19.95,2026-01-20 08:39:35
8677,Business,19.42,2026-01-20 08:39:35
8679,Leisure,29.55,2026-01-20 08:39:35
8679,Daily,27.27,2026-01-20 08:39:35
8679,Business,22.73,2026-01-20 08:39:35
8680,Daily,27.04,2026-01-20 08:39:35
8680,Leisure,25.23,2026-01-20 08:39:35
8680,Business,23.56,2026-01-20 08:39:35
8681,Daily,26.05,2026-01-20 08:39:35
8681,Business,24.37,2026-01-20 08:39:35
8681,Leisure,23.74,2026-01-20 08:39:35
8683,Daily,25.37,2026-01-20 08:39:35
8683,Business,22.39,2026-01-20 08:39:35
