PERFUME_ID,SEASON,ratio,LOAD_DT
8492,Spring,31.97,2026-01-20 08:39:39
8492,Summer,28.14,2026-01-20 08:39:39
8492,Fall,25.72,2026-01-20 08:39:39
8493,Spring,31.86,2026-01-20 08:39:39
8493,Fall,28.32,2026-01-20 08:39:39
8493,Summer,28.32,2026-01-20 08:39:39
8497,Fall,35.51,2026-01-20 08:39:39
8497,Winter,33.53,2026-01-20 08:39:39
8497,Spring,21.64,2026-01-20 08:39:39
8500,Fall,36.5,2026-01-20 08:39:39
8500,Winter,33.46,2026-01-20 08:39:39
8500,Spring,21.94,2026-01-20 08:39:39
8502,Spring,32.93,2026-01-20 08:39:39
8502,Fall,28.05,2026-01-20 08:39:39
8502,Summer,26.83,2026-01-20 08:39:39
8505,Fall,30.06,2026-01-20 08:39:39
8505,Winter,27.34,2026-01-20 08:39:39
8505,Spring,26.22,2026-01-20 08:39:39
8506,Fall,33.96,2026-01-20 08:39:39
8506,Spring,33.96,2026-01-20 08:39:39
8506,Summer,22.64,2026-01-20 08:39:39
8509,Fall,30.06,2026-01-20 08:39:39
8509,Spring,29.27,2026-01-20 08:39:39
8509,Winter,20.73,2026-01-20 08:39:39
8513,Fall,36.02,2026-01-20 08:39:39
8513,Winter,31.89,2026-01-20 08:39:39
8513,Spring,21.82,2026-01-20 08:39:39
8514,Spring,40.62,2026-01-20 08:39:39
8514,Summer,35.94,2026-01-20 08:39:39
8517,Fall,35.62,2026-01-20 08:39:39
8517,Winter,33.83,2026-01-20 08:39:39
8517,Spring,20.51,2026-01-20 08:39:39
8518,Spring,36.0,2026-01-20 08:39:39
8518,Fall,32.0,2026-01-20 08:39:39
8521,Fall,35.52,2026-01-20 08:39:39
8521,Winter,34.09,2026-01-20 08:39:39
8521,Spring,20.62,2026-01-20 08:39:39
8522,Spring,34.97,2026-01-20 08:39:39
8522,Fall,25.87,2026-01-20 08:39:39
8522,Summer,23.08,2026-01-20 08:39:39
8526,Summer,46.88,2026-01-20 08:39:39
8526,Spring,39.06,2026-01-20 08:39:39
8529,Spring,39.63,2026-01-20 08:39:39
8529,Summer,37.39,2026-01-20 08:39:39
8533,Fall,38.3,2026-01-20 08:39:39
8533,Winter,37.87,2026-01-20 08:39:39
8537,Fall,36.08,2026-01-20 08:39:39
8537,Winter,30.93,2026-01-20 08:39:39
8537,Spring,23.71,2026-01-20 08:39:39
8539,Spring,33.58,2026-01-20 08:39:39
8539,Summer,31.19,2026-01-20 08:39:39
8539,Fall,23.9,2026-01-20 08:39:39
