PERFUME_ID,OCCASION,VOTE,LOAD_DT
8348,Leisure,1,2026-01-20 08:41:50
8348,Business,1,2026-01-20 08:41:50
8351,Leisure,10,2026-01-20 08:41:50
8351,Business,10,2026-01-20 08:41:50
8351,Daily,9,2026-01-20 08:41:50
8351,Sport,6,2026-01-20 08:41:50
8351,Evening,5,2026-01-20 08:41:50
8351,Night Out,3,2026-01-20 08:41:50
8352,Leisure,12,2026-01-20 08:41:50
8352,Daily,9,2026-01-20 08:41:50
8352,Business,7,2026-01-20 08:41:50
8352,Sport,6,2026-01-20 08:41:50
8352,Night Out,4,2026-01-20 08:41:50
8352,Evening,3,2026-01-20 08:41:50
8353,Daily,1,2026-01-20 08:41:50
8353,Sport,1,2026-01-20 08:41:50
8353,Leisure,1,2026-01-20 08:41:50
8354,Leisure,15,2026-01-20 08:41:50
8354,Business,15,2026-01-20 08:41:50
8354,Daily,11,2026-01-20 08:41:50
8354,Night Out,8,2026-01-20 08:41:50
8354,Evening,6,2026-01-20 08:41:50
8354,Sport,3,2026-01-20 08:41:50
8356,Daily,12,2026-01-20 08:41:50
8356,Business,12,2026-01-20 08:41:50
8356,Leisure,11,2026-01-20 08:41:50
8356,Sport,6,2026-01-20 08:41:50
8356,Evening,5,2026-01-20 08:41:50
8356,Night Out,4,2026-01-20 08:41:50
8357,Leisure,2,2026-01-20 08:41:50
8357,Night Out,2,2026-01-20 08:41:50
8357,Evening,2,2026-01-20 08:41:50
8357,Daily,1,2026-01-20 08:41:50
8357,Business,1,2026-01-20 08:41:50
8359,Evening,9,2026-01-20 08:41:50
8359,Leisure,8,2026-01-20 08:41:50
8359,Night Out,8,2026-01-20 08:41:50
8359,Business,6,2026-01-20 08:41:50
8359,Daily,5,2026-01-20 08:41:50
8360,Leisure,2,2026-01-20 08:41:50
8360,Night Out,2,2026-01-20 08:41:50
8360,Evening,2,2026-01-20 08:41:50
8361,Night Out,3,2026-01-20 08:41:50
8361,Evening,3,2026-01-20 08:41:50
8361,Daily,2,2026-01-20 08:41:50
8361,Leisure,2,2026-01-20 08:41:50
8361,Business,1,2026-01-20 08:41:50
8362,Leisure,12,2026-01-20 08:41:50
8362,Business,12,2026-01-20 08:41:50
8362,Daily,11,2026-01-20 08:41:50
8362,Night Out,7,2026-01-20 08:41:50
8362,Evening,7,2026-01-20 08:41:50
8367,Leisure,11,2026-01-20 08:41:50
8367,Business,10,2026-01-20 08:41:50
8367,Daily,9,2026-01-20 08:41:50
8367,Sport,8,2026-01-20 08:41:50
8367,Night Out,2,2026-01-20 08:41:50
8367,Evening,2,2026-01-20 08:41:50
8369,Daily,1,2026-01-20 08:41:50
8369,Sport,1,2026-01-20 08:41:50
8369,Leisure,1,2026-01-20 08:41:50
8369,Business,1,2026-01-20 08:41:50
8375,Night Out,10,2026-01-20 08:41:50
8375,Evening,10,2026-01-20 08:41:50
8375,Leisure,9,2026-01-20 08:41:50
8375,Daily,7,2026-01-20 08:41:50
8375,Business,4,2026-01-20 08:41:50
8379,Daily,14,2026-01-20 08:41:50
8379,Leisure,14,2026-01-20 08:41:50
8379,Business,12,2026-01-20 08:41:50
8379,Evening,6,2026-01-20 08:41:50
8379,Night Out,5,2026-01-20 08:41:50
8379,Sport,4,2026-01-20 08:41:50
8383,Daily,16,2026-01-20 08:41:50
8383,Leisure,15,2026-01-20 08:41:50
8383,Business,14,2026-01-20 08:41:50
8383,Night Out,5,2026-01-20 08:41:50
8383,Sport,4,2026-01-20 08:41:50
8383,Evening,3,2026-01-20 08:41:50
8387,Daily,12,2026-01-20 08:41:50
8387,Leisure,11,2026-01-20 08:41:50
8387,Business,9,2026-01-20 08:41:50
8387,Night Out,5,2026-01-20 08:41:50
8387,Evening,4,2026-01-20 08:41:50
8391,Business,10,2026-01-20 08:41:50
8391,Daily,9,2026-01-20 08:41:50
8391,Leisure,6,2026-01-20 08:41:50
8394,Night Out,6,2026-01-20 08:41:50
8394,Evening,6,2026-01-20 08:41:50
8394,Leisure,5,2026-01-20 08:41:50
8394,Business,3,2026-01-20 08:41:50
8394,Daily,2,2026-01-20 08:41:50
8398,Daily,6,2026-01-20 08:41:50
8398,Leisure,6,2026-01-20 08:41:50
8398,Night Out,5,2026-01-20 08:41:50
8398,Business,5,2026-01-20 08:41:50
8398,Evening,5,2026-01-20 08:41:50
8399,Daily,293,2026-01-20 08:41:50
8399,Leisure,289,2026-01-20 08:41:50
8399,Evening,270,2026-01-20 08:41:50
8399,Night Out,242,2026-01-20 08:41:50
8399,Business,221,2026-01-20 08:41:50
8402,Leisure,4,2026-01-20 08:41:50
8402,Night Out,4,2026-01-20 08:41:50
8402,Evening,4,2026-01-20 08:41:50
8402,Daily,2,2026-01-20 08:41:50
8402,Business,1,2026-01-20 08:41:50
8403,Daily,303,2026-01-20 08:41:50
8403,Leisure,265,2026-01-20 08:41:50
8403,Business,227,2026-01-20 08:41:50
8403,Night Out,140,2026-01-20 08:41:50
8403,Evening,138,2026-01-20 08:41:50
8406,Daily,4,2026-01-20 08:41:50
8406,Leisure,4,2026-01-20 08:41:50
8406,Night Out,4,2026-01-20 08:41:50
8406,Evening,3,2026-01-20 08:41:50
8406,Business,2,2026-01-20 08:41:50
8407,Evening,315,2026-01-20 08:41:50
8407,Night Out,287,2026-01-20 08:41:50
8407,Leisure,192,2026-01-20 08:41:50
8407,Daily,93,2026-01-20 08:41:50
8407,Business,58,2026-01-20 08:41:50
8408,Leisure,47,2026-01-20 08:41:50
8408,Daily,44,2026-01-20 08:41:50
8408,Business,33,2026-01-20 08:41:50
8408,Evening,15,2026-01-20 08:41:50
8408,Sport,12,2026-01-20 08:41:50
8408,Night Out,7,2026-01-20 08:41:50
8411,Daily,121,2026-01-20 08:41:50
8411,Leisure,114,2026-01-20 08:41:50
8411,Business,85,2026-01-20 08:41:50
8411,Evening,79,2026-01-20 08:41:50
8411,Night Out,74,2026-01-20 08:41:50
8411,Sport,42,2026-01-20 08:41:50
8412,Evening,36,2026-01-20 08:41:50
8412,Night Out,30,2026-01-20 08:41:50
8412,Leisure,18,2026-01-20 08:41:50
8412,Daily,14,2026-01-20 08:41:50
8412,Business,10,2026-01-20 08:41:50
8414,Leisure,9,2026-01-20 08:41:50
8414,Night Out,8,2026-01-20 08:41:50
8414,Daily,5,2026-01-20 08:41:50
8414,Evening,5,2026-01-20 08:41:50
8414,Business,4,2026-01-20 08:41:50
8414,Sport,2,2026-01-20 08:41:50
8415,Leisure,126,2026-01-20 08:41:50
8415,Daily,117,2026-01-20 08:41:50
8415,Business,95,2026-01-20 08:41:50
8415,Sport,57,2026-01-20 08:41:50
8415,Evening,53,2026-01-20 08:41:50
8415,Night Out,42,2026-01-20 08:41:50
8416,Leisure,25,2026-01-20 08:41:50
8416,Daily,24,2026-01-20 08:41:50
8416,Business,21,2026-01-20 08:41:50
8416,Evening,18,2026-01-20 08:41:50
8416,Night Out,9,2026-01-20 08:41:50
8418,Leisure,5,2026-01-20 08:41:50
8418,Night Out,4,2026-01-20 08:41:50
8418,Business,2,2026-01-20 08:41:50
8418,Evening,2,2026-01-20 08:41:50
8418,Daily,1,2026-01-20 08:41:50
8419,Leisure,125,2026-01-20 08:41:50
8419,Daily,117,2026-01-20 08:41:50
8419,Business,97,2026-01-20 08:41:50
8419,Night Out,62,2026-01-20 08:41:50
8419,Evening,62,2026-01-20 08:41:50
8419,Sport,61,2026-01-20 08:41:50
8421,Leisure,27,2026-01-20 08:41:50
8421,Daily,25,2026-01-20 08:41:50
8421,Business,22,2026-01-20 08:41:50
8421,Sport,14,2026-01-20 08:41:50
8421,Evening,7,2026-01-20 08:41:50
8421,Night Out,5,2026-01-20 08:41:50
8422,Leisure,10,2026-01-20 08:41:50
8422,Daily,7,2026-01-20 08:41:50
8422,Evening,6,2026-01-20 08:41:50
8422,Night Out,5,2026-01-20 08:41:50
8422,Business,4,2026-01-20 08:41:50
8422,Sport,2,2026-01-20 08:41:50
8423,Leisure,110,2026-01-20 08:41:50
8423,Daily,105,2026-01-20 08:41:50
8423,Business,94,2026-01-20 08:41:50
8423,Night Out,55,2026-01-20 08:41:50
8423,Evening,51,2026-01-20 08:41:50
8423,Sport,35,2026-01-20 08:41:50
8425,Leisure,21,2026-01-20 08:41:50
8425,Evening,21,2026-01-20 08:41:50
8425,Night Out,20,2026-01-20 08:41:50
8425,Daily,16,2026-01-20 08:41:50
8425,Business,14,2026-01-20 08:41:50
