PERFUME_ID,PERFUME_NAME,PERFUME_BRAND,RELEASE_YEAR,CONCENTRATION,PERFUMER,IMG_LINK,LOAD_DT
8451,Bond No. 9's Island,Bond No. 9,2024,,,https://media.parfumo.com/perfume_social/ad/ad08a4-bond-no-9-s-island-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8452,Amber Essence,Ferrari,2016,,Pierre-Constantin Guéros,https://media.parfumo.com/perfume_social/18/186fb7-amber-essence-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8455,Cedar Essence,Ferrari,2014,,Nathalie Feisthauer,https://media.parfumo.com/perfume_social/90/90745f-cedar-essence-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8456,Dubai Citrine,Bond No. 9,2016,,,https://media.parfumo.com/perfume_social/35/35764a-dubai-citrine-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8457,Kenzo Amour Indian Holi,Kenzo,2008,,"Daphné Bugey,Olivier Cresp",https://media.parfumo.com/perfume_social/5d/5d7925-kenzo-amour-indian-holi-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8458,Bleu de Chanel,Chanel,2014,Eau de Parfum,Jacques Polge,https://media.parfumo.com/perfume_social/05/055e6a-bleu-de-chanel-eau-de-parfum-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8461,Allure Homme Sport Eau Extrême,Chanel,2012,,Jacques Polge,https://media.parfumo.com/perfume_social/5a/5a3157-allure-homme-sport-eau-extreme-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8463,Kenzo World,Kenzo,2016,Eau de Parfum,Francis Kurkdjian,https://media.parfumo.com/perfume_social/f8/f8c841-kenzo-world-eau-de-parfum-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8465,Allure Homme Édition Blanche,Chanel,2014,Eau de Parfum,Jacques Polge,https://media.parfumo.com/perfume_social/70/7047e1-allure-homme-edition-blanche-eau-de-parfum-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8466,Red Power,Ferrari,2012,Eau de Toilette,Alexandra Carlin,https://media.parfumo.com/perfume_social/07/075846-red-power-eau-de-toilette-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8467,Saks Fifth Avenue for Him,Bond No. 9,2007,,Michel Almairac,https://media.parfumo.com/perfume_social/e7/e7bfdb-saks-fifth-avenue-for-him-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8468,Jeu d'Amour,Kenzo,2014,Eau de Parfum,"Daphné Bugey,Christophe Raynaud",https://media.parfumo.com/perfume_social/6a/6a0bab-jeu-d-amour-eau-de-parfum-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8470,Scuderia Ferrari - Light Essence Acqua,Ferrari,2014,,,https://media.parfumo.com/perfume_social/d5/d5e879-scuderia-ferrari-light-essence-acqua-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8471,Gold Street,Bond No. 9,2024,,,https://media.parfumo.com/perfume_social/af/af84f9-gold-street-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8472,Flower by Kenzo Le Parfum,Kenzo,2003,,Alberto Morillas,https://media.parfumo.com/perfume_social/74/74fcc0-flower-by-kenzo-le-parfum-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8473,Bleu de Chanel Parfum,Chanel,2018,,Olivier Polge,https://media.parfumo.com/perfume_social/67/670625-bleu-de-chanel-parfum-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8474,Red Power Ice³,Ferrari,2015,,,https://media.parfumo.com/perfume_social/14/142326-red-power-ice-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8476,Ça Sent BeauKenzo,Kenzo,1988,Eau de Toilette,Françoise Caron,https://media.parfumo.com/perfume_social/b7/b7b441_ca-sent-beau-kenzo-eau-de-toilette-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8477,Scuderia Ferrari - Light Essence,Ferrari,2007,,,https://media.parfumo.com/perfume_social/c9/c953a5-scuderia-ferrari-light-essence-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8478,Harrods for Her,Bond No. 9,2009,,Laurent Le Guernec,https://media.parfumo.com/perfume_social/d0/d0842b-harrods-for-her-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8482,Scuderia Ferrari - Black Signature,Ferrari,2013,Eau de Toilette,Philippe Roques,https://media.parfumo.com/perfume_social/d5/d518dc-scuderia-ferrari-black-signature-eau-de-toilette-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8488,L'Eau par Kenzo Eau Indigo pour Femme,Kenzo,2009,,Christine Nagel,https://media.parfumo.com/perfume_social/19/1966ae-l-eau-par-kenzo-eau-indigo-pour-femme-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8489,Saks Fifth Avenue en Rose,Bond No. 9,2010,,,https://media.parfumo.com/perfume_social/8e/8ef463-saks-fifth-avenue-en-rose-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8490,Man in Red,Ferrari,2015,Eau de Toilette,,https://media.parfumo.com/perfume_social/cd/cdf7e9-man-in-red-eau-de-toilette-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8491,Dubai Garnet,Bond No. 9,2016,,,https://media.parfumo.com/perfume_social/aa/aadfc4-dubai-garnet-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8492,Platinum Égoïste,Chanel,1993,Eau de Toilette,Jacques Polge,https://media.parfumo.com/perfume_social/b2/b2470d-platinum-egoiste-eau-de-toilette-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8493,Kenzo Homme Night,Kenzo,2014,,Dominique Ropion,https://media.parfumo.com/perfume_social/ad/ad583a-kenzo-homme-night-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8494,Ferrari Extreme,Ferrari,2006,Eau de Toilette,Alberto Morillas,https://media.parfumo.com/perfume_social/59/5936cc-ferrari-extreme-eau-de-toilette-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8495,Greenpoint,Bond No. 9,2025,,,https://media.parfumo.com/perfume_social/41/41b4b2_greenpoint-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8497,Antaeus,Chanel,1981,Eau de Toilette,"Jacques Polge,François Demachy",https://media.parfumo.com/perfume_social/98/98501c-antaeus-eau-de-toilette-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8498,Scuderia Ferrari - Light Essence Bright,Ferrari,2012,,,https://media.parfumo.com/perfume_social/6d/6d6b8e-scuderia-ferrari-light-essence-bright-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8499,Off-Broadway,Bond No. 9,2021,,Michel Almairac,https://media.parfumo.com/perfume_social/90/904efe-off-broadway-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8500,Coromandel,Chanel,2016,Eau de Parfum,"Jacques Polge,Christopher Sheldrake",https://media.parfumo.com/perfume_social/0a/0a51dd-coromandel-eau-de-parfum-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8502,Kenzo Homme Indigo,Kenzo,2025,,Quentin Bisch,https://media.parfumo.com/perfume_social/0c/0c4e2f-kenzo-homme-indigo-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8505,N°5,Chanel,1921,Parfum,Ernest Beaux,https://media.parfumo.com/perfume_social/64/6439ce-n-5-parfum-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8506,Kenzo Homme,Kenzo,2009,Eau de Toilette Boisée,"Olivier Polge,IFF (International Flavors & Fragrances)",https://media.parfumo.com/perfume_social/b3/b33f59-kenzo-homme-eau-de-toilette-boisee-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8507,Saks New Orleans,Bond No. 9,2009,,,https://media.parfumo.com/perfume_social/3e/3e28b3-saks-new-orleans-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8509,Allure Homme,Chanel,1999,Eau de Toilette,Jacques Polge,https://media.parfumo.com/perfume_social/3c/3c80d4-allure-homme-eau-de-toilette-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8511,New York Gardenia,Bond No. 9,2024,,,https://media.parfumo.com/perfume_social/b8/b8363f-new-york-gardenia-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8513,Coco Noir,Chanel,2012,Eau de Parfum,Jacques Polge,https://media.parfumo.com/perfume_social/c4/c47cff-coco-noir-eau-de-parfum-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8514,Flower in the Air,Kenzo,2013,Eau de Parfum,Alberto Morillas,https://media.parfumo.com/perfume_social/06/060d25-flower-in-the-air-eau-de-parfum-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8517,Coco,Chanel,1984,Eau de Parfum,Jacques Polge,https://media.parfumo.com/perfume_social/3b/3bebbd-coco-eau-de-parfum-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8518,Madly Kenzo!,Kenzo,2011,Eau de Parfum,Aurélien Guichard,https://media.parfumo.com/perfume_social/c0/c099ee-madly-kenzo-eau-de-parfum-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8519,Racing,Ferrari,2003,,,https://media.parfumo.com/perfume_social/51/51801a-racing-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8520,New York Oud Tola,Bond No. 9,2014,Perfume Oil,Laurent Le Guernec,https://media.parfumo.com/perfume_social/c9/c99907-new-york-oud-tola-perfume-oil-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8521,Coromandel,Chanel,2007,Eau de Toilette,"Jacques Polge,Christopher Sheldrake",https://media.parfumo.com/perfume_social/e0/e0a552-coromandel-eau-de-toilette-chanel_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
