PERFUME_ID,SEASON,VOTE,LOAD_DT
8307,Fall,5,2026-01-20 08:41:52
8307,Winter,4,2026-01-20 08:41:52
8307,Summer,4,2026-01-20 08:41:52
8309,Spring,21,2026-01-20 08:41:52
8309,Summer,18,2026-01-20 08:41:52
8309,Fall,5,2026-01-20 08:41:52
8309,Winter,2,2026-01-20 08:41:52
8311,Spring,6,2026-01-20 08:41:52
8311,Summer,5,2026-01-20 08:41:52
8311,Winter,3,2026-01-20 08:41:52
8311,Fall,3,2026-01-20 08:41:52
8313,Spring,18,2026-01-20 08:41:52
8313,Summer,15,2026-01-20 08:41:52
8313,Fall,12,2026-01-20 08:41:52
8313,Winter,9,2026-01-20 08:41:52
8314,Summer,3,2026-01-20 08:41:52
8314,Spring,3,2026-01-20 08:41:52
8314,Winter,1,2026-01-20 08:41:52
8314,Fall,1,2026-01-20 08:41:52
8317,Spring,15,2026-01-20 08:41:52
8317,Summer,13,2026-01-20 08:41:52
8317,Fall,12,2026-01-20 08:41:52
8317,Winter,6,2026-01-20 08:41:52
8319,Spring,33,2026-01-20 08:41:52
8319,Summer,22,2026-01-20 08:41:52
8319,Fall,18,2026-01-20 08:41:52
8319,Winter,10,2026-01-20 08:41:52
8321,Spring,13,2026-01-20 08:41:52
8321,Fall,11,2026-01-20 08:41:52
8321,Summer,8,2026-01-20 08:41:52
8321,Winter,6,2026-01-20 08:41:52
8325,Spring,21,2026-01-20 08:41:52
8325,Summer,16,2026-01-20 08:41:52
8325,Fall,10,2026-01-20 08:41:52
8325,Winter,6,2026-01-20 08:41:52
8326,Fall,33,2026-01-20 08:41:52
8326,Spring,31,2026-01-20 08:41:52
8326,Winter,26,2026-01-20 08:41:52
8326,Summer,17,2026-01-20 08:41:52
8329,Spring,22,2026-01-20 08:41:52
8329,Summer,20,2026-01-20 08:41:52
8329,Fall,6,2026-01-20 08:41:52
8329,Winter,3,2026-01-20 08:41:52
8331,Winter,2,2026-01-20 08:41:52
8331,Fall,2,2026-01-20 08:41:52
8331,Spring,2,2026-01-20 08:41:52
8334,Spring,23,2026-01-20 08:41:52
8334,Fall,19,2026-01-20 08:41:52
8334,Winter,12,2026-01-20 08:41:52
8334,Summer,12,2026-01-20 08:41:52
8335,Summer,1,2026-01-20 08:41:52
8335,Spring,1,2026-01-20 08:41:52
8337,Fall,16,2026-01-20 08:41:52
8337,Winter,15,2026-01-20 08:41:52
8337,Spring,11,2026-01-20 08:41:52
8337,Summer,10,2026-01-20 08:41:52
8338,Fall,21,2026-01-20 08:41:52
8338,Spring,19,2026-01-20 08:41:52
8338,Summer,15,2026-01-20 08:41:52
8338,Winter,12,2026-01-20 08:41:52
8339,Fall,4,2026-01-20 08:41:52
8339,Winter,3,2026-01-20 08:41:52
8339,Summer,3,2026-01-20 08:41:52
8339,Spring,3,2026-01-20 08:41:52
8341,Spring,19,2026-01-20 08:41:52
8341,Summer,17,2026-01-20 08:41:52
8341,Winter,6,2026-01-20 08:41:52
8341,Fall,6,2026-01-20 08:41:52
8344,Spring,21,2026-01-20 08:41:52
8344,Fall,15,2026-01-20 08:41:52
8344,Summer,13,2026-01-20 08:41:52
8344,Winter,9,2026-01-20 08:41:52
8348,Summer,1,2026-01-20 08:41:52
8348,Spring,1,2026-01-20 08:41:52
8351,Summer,11,2026-01-20 08:41:52
8351,Spring,11,2026-01-20 08:41:52
8351,Fall,4,2026-01-20 08:41:52
8352,Spring,14,2026-01-20 08:41:52
8352,Summer,13,2026-01-20 08:41:52
8352,Fall,7,2026-01-20 08:41:52
8352,Winter,3,2026-01-20 08:41:52
8353,Winter,1,2026-01-20 08:41:52
8353,Fall,1,2026-01-20 08:41:52
8353,Summer,1,2026-01-20 08:41:52
8353,Spring,1,2026-01-20 08:41:52
8354,Summer,15,2026-01-20 08:41:52
8354,Spring,15,2026-01-20 08:41:52
8354,Fall,13,2026-01-20 08:41:52
8354,Winter,3,2026-01-20 08:41:52
8356,Summer,13,2026-01-20 08:41:52
8356,Fall,11,2026-01-20 08:41:52
8356,Spring,11,2026-01-20 08:41:52
8356,Winter,2,2026-01-20 08:41:52
8357,Winter,2,2026-01-20 08:41:52
8357,Fall,2,2026-01-20 08:41:52
8357,Summer,1,2026-01-20 08:41:52
8357,Spring,1,2026-01-20 08:41:52
8359,Winter,10,2026-01-20 08:41:52
8359,Fall,10,2026-01-20 08:41:52
8359,Summer,4,2026-01-20 08:41:52
8359,Spring,4,2026-01-20 08:41:52
8360,Fall,3,2026-01-20 08:41:52
8360,Spring,3,2026-01-20 08:41:52
8360,Summer,2,2026-01-20 08:41:52
8360,Winter,1,2026-01-20 08:41:52
8361,Fall,3,2026-01-20 08:41:52
8361,Summer,3,2026-01-20 08:41:52
8361,Spring,3,2026-01-20 08:41:52
8361,Winter,1,2026-01-20 08:41:52
8362,Spring,13,2026-01-20 08:41:52
8362,Fall,9,2026-01-20 08:41:52
8362,Winter,6,2026-01-20 08:41:52
8362,Summer,6,2026-01-20 08:41:52
8367,Spring,11,2026-01-20 08:41:52
8367,Summer,10,2026-01-20 08:41:52
8367,Fall,4,2026-01-20 08:41:52
8367,Winter,2,2026-01-20 08:41:52
8369,Winter,1,2026-01-20 08:41:52
8369,Fall,1,2026-01-20 08:41:52
8369,Summer,1,2026-01-20 08:41:52
8369,Spring,1,2026-01-20 08:41:52
8375,Winter,11,2026-01-20 08:41:52
