PERFUME_ID,AUDIENCE,VOTE,LOAD_DT
8505,Feminine,433,2026-01-20 08:39:32
8505,Classic,303,2026-01-20 08:39:32
8505,Modern,92,2026-01-20 08:39:32
8505,Masculine,73,2026-01-20 08:39:32
8506,Masculine,43,2026-01-20 08:39:32
8506,Modern,18,2026-01-20 08:39:32
8506,Classic,10,2026-01-20 08:39:32
8506,Feminine,3,2026-01-20 08:39:32
8509,Masculine,340,2026-01-20 08:39:32
8509,Classic,177,2026-01-20 08:39:32
8509,Modern,163,2026-01-20 08:39:32
8509,Feminine,29,2026-01-20 08:39:32
8513,Feminine,362,2026-01-20 08:39:32
8513,Classic,195,2026-01-20 08:39:32
8513,Modern,108,2026-01-20 08:39:32
8513,Masculine,53,2026-01-20 08:39:32
8514,Feminine,55,2026-01-20 08:39:32
8514,Modern,26,2026-01-20 08:39:32
8514,Classic,9,2026-01-20 08:39:32
8517,Feminine,352,2026-01-20 08:39:32
8517,Classic,215,2026-01-20 08:39:32
8517,Modern,74,2026-01-20 08:39:32
8517,Masculine,50,2026-01-20 08:39:32
8518,Feminine,45,2026-01-20 08:39:32
8518,Modern,18,2026-01-20 08:39:32
8518,Classic,7,2026-01-20 08:39:32
8518,Masculine,4,2026-01-20 08:39:32
8521,Feminine,314,2026-01-20 08:39:32
8521,Masculine,176,2026-01-20 08:39:32
8521,Classic,161,2026-01-20 08:39:32
8521,Modern,70,2026-01-20 08:39:32
8522,Feminine,54,2026-01-20 08:39:32
8522,Modern,28,2026-01-20 08:39:32
8522,Classic,13,2026-01-20 08:39:32
8522,Masculine,6,2026-01-20 08:39:32
8526,Masculine,32,2026-01-20 08:39:32
8526,Modern,20,2026-01-20 08:39:32
8526,Classic,6,2026-01-20 08:39:32
8529,Feminine,320,2026-01-20 08:39:32
8529,Modern,186,2026-01-20 08:39:32
8529,Classic,87,2026-01-20 08:39:32
8533,Masculine,241,2026-01-20 08:39:32
8533,Feminine,187,2026-01-20 08:39:32
8533,Classic,169,2026-01-20 08:39:32
8533,Modern,57,2026-01-20 08:39:32
8537,Feminine,42,2026-01-20 08:39:32
8537,Modern,19,2026-01-20 08:39:32
8537,Classic,8,2026-01-20 08:39:32
8539,Masculine,279,2026-01-20 08:39:32
8539,Classic,178,2026-01-20 08:39:32
8539,Modern,63,2026-01-20 08:39:32
8539,Feminine,51,2026-01-20 08:39:32
8542,Feminine,29,2026-01-20 08:39:32
8542,Modern,12,2026-01-20 08:39:32
8542,Masculine,6,2026-01-20 08:39:32
8542,Classic,5,2026-01-20 08:39:32
8543,Masculine,225,2026-01-20 08:39:32
8543,Modern,143,2026-01-20 08:39:32
8543,Classic,63,2026-01-20 08:39:32
8543,Feminine,55,2026-01-20 08:39:32
8546,Feminine,38,2026-01-20 08:39:32
8546,Modern,26,2026-01-20 08:39:32
8546,Classic,7,2026-01-20 08:39:32
8546,Masculine,3,2026-01-20 08:39:32
8547,Feminine,305,2026-01-20 08:39:32
8547,Classic,158,2026-01-20 08:39:32
8547,Modern,101,2026-01-20 08:39:32
8550,Masculine,32,2026-01-20 08:39:32
8550,Modern,12,2026-01-20 08:39:32
8550,Classic,6,2026-01-20 08:39:32
8550,Feminine,4,2026-01-20 08:39:32
8551,Feminine,250,2026-01-20 08:39:32
8551,Modern,125,2026-01-20 08:39:32
8551,Classic,88,2026-01-20 08:39:32
8555,Feminine,43,2026-01-20 08:39:32
8555,Modern,15,2026-01-20 08:39:32
8555,Classic,11,2026-01-20 08:39:32
8555,Masculine,3,2026-01-20 08:39:32
8558,Feminine,37,2026-01-20 08:39:32
8558,Modern,14,2026-01-20 08:39:32
8558,Classic,4,2026-01-20 08:39:32
8559,Feminine,247,2026-01-20 08:39:32
8559,Modern,107,2026-01-20 08:39:32
8559,Classic,102,2026-01-20 08:39:32
8559,Masculine,25,2026-01-20 08:39:32
8562,Feminine,41,2026-01-20 08:39:32
8562,Modern,11,2026-01-20 08:39:32
8562,Masculine,5,2026-01-20 08:39:32
8562,Classic,5,2026-01-20 08:39:32
8563,Feminine,239,2026-01-20 08:39:32
8563,Modern,116,2026-01-20 08:39:32
8563,Classic,112,2026-01-20 08:39:32
8567,Feminine,248,2026-01-20 08:39:32
8567,Classic,131,2026-01-20 08:39:32
8567,Modern,95,2026-01-20 08:39:32
8567,Masculine,85,2026-01-20 08:39:32
8570,Masculine,24,2026-01-20 08:39:32
8570,Modern,10,2026-01-20 08:39:32
